Altium Designer Pick and Place Locations
C:\Users\dominikg\Dropbox\Wuerfel\FlexV1\FlexV1\Project Output\Gerber\Pick Place for FlexV1_Panel(Standard).txt

========================================================================================================================
File Design Information:

Date:       09.07.20
Time:       14:28
Revision:   5f7364683e5d64391420c13721a5f375ee604a3c
Variant:    Standard
Units used: mil

Designator Comment       Layer    Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                               
P6         Solderpad     TopLayer SOLDERPAD                    1677.165      1283.465      0        ""                                                                                                                                        
P4         Solderpad     TopLayer SOLDERPAD                    1775.591      1283.465      0        ""                                                                                                                                        
P8         Solderpad     TopLayer SOLDERPAD                    3125.984      2767.716      0        ""                                                                                                                                        
P3         Solderpad     TopLayer SOLDERPAD                    836.614       2391.732      0        ""                                                                                                                                        
P18        Solderpad     TopLayer SOLDERPAD                    836.614       2019.685      0        ""                                                                                                                                        
R30        52k3          TopLayer RC0603                       842.520       1940.945      360      "Res Thick Film 0603 52.3K Ohm 1% 0.1W(1/10W) ±100ppm/C Epoxy SMD T/R"                                                                    
L5         2u2H          TopLayer C0805                        1051.181      2055.118      90       "Inductor Power Shielded Multi-Layer 2.2uH 20% 2MHz Ferrite 0.8A 0.156Ohm DCR 0805 T/R"                                                   
IC8        TPS62840      TopLayer TPS62840DLC                  952.756       2019.685      0        "60-nA IQ, 1.8-V to 6.5-VIN, high-efficiency 750-mA step-down converter 8-VSON-HR -40 to 125"                                             
C32        22uF          TopLayer C0805                        956.693       2102.362      360      "TDK - C2012X7S1A226M125AC - SMD Multilayer Ceramic Capacitor, 22 µF, 10 V, 0805 [2012 Metric], ± 20%, X7S, C Series TDK"                 
C31        4u7F          TopLayer C0805                        826.772       2129.921      270      "SAMSUNG ELECTRO-MECHANICS - CL21A475KAQNNNE - SMD Multilayer Ceramic Capacitor, 4.7 µF, 25 V, 0805 [2012 Metric], ± 10%, X5R, CL Series" 
P17        Solderpad     TopLayer SOLDERPAD                    1988.189      3314.961      0        ""                                                                                                                                        
P16        Solderpad     TopLayer SOLDERPAD                    1486.220      1980.315      0        ""                                                                                                                                        
P11        Solderpad     TopLayer SOLDERPAD                    1661.417      3503.937      0        ""                                                                                                                                        
Q1         NTR4101PT1G   TopLayer NTR4101P                     956.693       1811.024      180      "ON SEMICONDUCTOR - NTR4101PT1G - MOSFET Transistor, P Channel, 3.2 A, -20 V, 0.07 ohm, -4.5 V, -720 mV"                                  
R28        100k          TopLayer RC0603                       1082.677      1838.583      90       "RES SMD 100K OHM 5% 1/10W 0603"                                                                                                          
IC7        LM66100       TopLayer LM66100                      972.441       1925.197      360      "1.5-V to 5.5-V, 1.5-A, 0.5-uA IQ ideal diode with Integrated FET 6-SC70 -40 to 105"                                                      
C30        22uF          TopLayer C0805                        1736.220      3342.520      360      "TDK - C2012X7S1A226M125AC - SMD Multilayer Ceramic Capacitor, 22 µF, 10 V, 0805 [2012 Metric], ± 20%, X7S, C Series TDK"                 
C29        22uF          TopLayer C0805                        2515.748      2716.535      270      "TDK - C2012X7S1A226M125AC - SMD Multilayer Ceramic Capacitor, 22 µF, 10 V, 0805 [2012 Metric], ± 20%, X7S, C Series TDK"                 
C28        22uF          TopLayer C0805                        2287.401      1338.582      90       "TDK - C2012X7S1A226M125AC - SMD Multilayer Ceramic Capacitor, 22 µF, 10 V, 0805 [2012 Metric], ± 20%, X7S, C Series TDK"                 
C27        22uF          TopLayer C0805                        1460.630      2199.803      90       "TDK - C2012X7S1A226M125AC - SMD Multilayer Ceramic Capacitor, 22 µF, 10 V, 0805 [2012 Metric], ± 20%, X7S, C Series TDK"                 
R27        162k          TopLayer RC0603                       1362.205      1968.504      90       "RES SMD 162K OHM 0.1% 1/10W 0603"                                                                                                        
R26        442k          TopLayer RC0603                       1409.449      1968.504      90       "RES SMD 442K OHM 0.5% 1/10W 0603"                                                                                                        
IC6        TPS82084      TopLayer TPS82084                     1240.157      1980.315      360      "TEXAS INSTRUMENTS - TPS82084SILR - Convert. DC/DC POL, Ajust. Buck, Micro SIP, Entrée 2,5V à 6V, Sortie 0,8V à 6V/2A, 2,4MHz, µSIP-8"    
C26        22uF          TopLayer C0805                        1318.898      2094.488      180      "TDK - C2012X7S1A226M125AC - SMD Multilayer Ceramic Capacitor, 22 µF, 10 V, 0805 [2012 Metric], ± 20%, X7S, C Series TDK"                 
C25        22uF          TopLayer C0805                        1157.480      2094.488      180      "TDK - C2012X7S1A226M125AC - SMD Multilayer Ceramic Capacitor, 22 µF, 10 V, 0805 [2012 Metric], ± 20%, X7S, C Series TDK"                 
L4         13uH          TopLayer CHARGEINDUCTORPADS           1161.417      1742.126      180      "WURTH ELEKTRONIK - 760308101208 - WIRELESS POWER CHARGING COIL, 13UH, 10%"                                                               
D385       green         TopLayer LTST-C190EKT                 1307.086      1840.551      180      "LED,  LTST-C190GKT"                                                                                                                      
C24        47nF          TopLayer RC0603                       980.315       1720.472      360      "CAP CER 0.047UF 50V X7R 0603"                                                                                                            
P15        Solderpad     TopLayer SOLDERPAD                    836.614       1860.236      180      ""                                                                                                                                        
P14        Solderpad     TopLayer SOLDERPAD                    1486.220      1860.236      180      ""                                                                                                                                        
P13        Solderpad     TopLayer SOLDERPAD                    836.614       1742.126      180      ""                                                                                                                                        
P12        Solderpad     TopLayer SOLDERPAD                    1486.220      1742.126      180      ""                                                                                                                                        
P10        Solderpad     TopLayer SOLDERPAD                    1661.417      3625.984      0        ""                                                                                                                                        
P9         Solderpad     TopLayer SOLDERPAD                    1661.417      3748.031      0        ""                                                                                                                                        
P7         Solderpad     TopLayer SOLDERPAD                    3027.559      2767.716      0        ""                                                                                                                                        
P5         Solderpad     TopLayer SOLDERPAD                    836.614       2291.338      0        ""                                                                                                                                        
IC5        LTC4124       TopLayer LTC4124                      1196.850      1838.583      180      "Linear Battery Charger Li-Ion 100mA 4V/4.1V/4.2V/4.35V 12-Pin LQFN EP Reel"                                                              
IC4        ADXL343       TopLayer ADXL343                      1964.567      3500.000      90       "ACCEL 2-16G I2C/SPI 14LGA"                                                                                                               
C23        100nF         TopLayer CL10B104KB8NNNC              1811.023      3460.630      360      "Capacitor: ceramic; MLCC; 100nF; 50V; X7R; ±10%; SMD; 0603; -55÷125°C"                                                                   
C22        4u7F          TopLayer C0805                        2133.858      3448.819      180      "SAMSUNG ELECTRO-MECHANICS - CL21A475KAQNNNE - SMD Multilayer Ceramic Capacitor, 4.7 µF, 25 V, 0805 [2012 Metric], ± 10%, X5R, CL Series" 
L3         10uF          TopLayer RC0603                       1854.331      3925.197      270      "Inductor Power Shielded Multi-Layer 10uH 20% 2MHz Ferrite 0.06A 0.78Ohm DCR 0603 T/R"                                                    
L2         15nF          TopLayer RC0603                       1901.575      3925.197      90       "Inductor RF Chip Wirewound 15nH 5% 100MHz 42Q-Factor 700mA 85mOhm DCR 0603 Paper T/R"                                                    
C20        100pF         TopLayer CL10B104KB8NNNC              2175.197      3809.055      360      "CAP CER 100PF 50V X7R 0603"                                                                                                              
P1         TC2030        TopLayer TAG_CONNECT                  2232.283      3564.370      360      ""                                                                                                                                        
P2         73412-0110    TopLayer UFL                          2275.000      3717.717      360      "MOLEX   73412-0110   RF COAXIAL, MICROCOAXIAL, JACK, 50OHM"                                                                              
L1         3n9H          TopLayer LQW18AN3N9B80D               2147.047      3717.716      360      "Ind RF Chip Unshielded Wirewound 3.9nH 0.1nH 100MHz 30Q-Factor Ferrite 2.2A 0603 Paper T/R"                                              
C21        0p8F          TopLayer CL10B104KB8NNNC              2078.740      3732.283      270      "CAP CER 0.8PF 250V C0G/NP0 0603"                                                                                                         
C19        4u7F          TopLayer C0805                        1792.716      3934.252      270      "SAMSUNG ELECTRO-MECHANICS - CL21A475KAQNNNE - SMD Multilayer Ceramic Capacitor, 4.7 µF, 25 V, 0805 [2012 Metric], ± 10%, X5R, CL Series" 
X1         32MHz         TopLayer R2520-32.000-8-F-1030-EXT-TR 2125.984      3917.323      270      "Xtal 32MHZ 8PF SMD"                                                                                                                      
C18        12pF          TopLayer CL10B104KB8NNNC              2208.661      3925.197      270      "Cap Ceramic 12pF 50VDC C0G 5% SMD 0603 Paper T/R"                                                                                        
C17        12pF          TopLayer CL10B104KB8NNNC              2043.307      3925.197      90       "Cap Ceramic 12pF 50VDC C0G 5% SMD 0603 Paper T/R"                                                                                        
U1         nRF52811-QCAA TopLayer NORDIC_QFN50P500X500X90-33N  1920.669      3745.275      360      "Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"                                           
C16        100nF         TopLayer CL10B104KB8NNNC              1807.086      3582.677      90       "Capacitor: ceramic; MLCC; 100nF; 50V; X7R; ±10%; SMD; 0603; -55÷125°C"                                                                   
C15        100nF         TopLayer CL10B104KB8NNNC              1753.347      3835.827      180      "Capacitor: ceramic; MLCC; 100nF; 50V; X7R; ±10%; SMD; 0603; -55÷125°C"                                                                   
C14        100nF         TopLayer CL10B104KB8NNNC              1996.063      3925.197      270      "Capacitor: ceramic; MLCC; 100nF; 50V; X7R; ±10%; SMD; 0603; -55÷125°C"                                                                   
C13        1µF           TopLayer CL10B104KB8NNNC              1948.819      3925.197      270      "Cap Ceramic 1uF 25V X5R 10% Pad SMD 0603 85°C T/R"                                                                                       
R_EXT3     20k           TopLayer RC0603                       2598.425      2539.370      180      "RES SMD 20K OHM 1% 1/10W 0603"                                                                                                           
R_EXT2     20k           TopLayer RC0603                       2204.724      1515.748      360      "RES SMD 20K OHM 1% 1/10W 0603"                                                                                                           
R_EXT1     20k           TopLayer RC0603                       1377.953      2376.968      360      "RES SMD 20K OHM 1% 1/10W 0603"                                                                                                           
R22        0             TopLayer RC0402                       2944.882      2625.984      270      "RES SMD 0 OHM JUMPER 1/16W 0402"                                                                                                         
R19        0             TopLayer RC0402                       1787.401      1429.134      90       "RES SMD 0 OHM JUMPER 1/16W 0402"                                                                                                         
R16        100k          TopLayer RC0603                       2961.614      2696.850      180      "RES SMD 100K OHM 5% 1/10W 0603"                                                                                                          
R15        100k          TopLayer RC0603                       3070.866      2696.850      360      "RES SMD 100K OHM 5% 1/10W 0603"                                                                                                          
R14        100k          TopLayer RC0603                       2598.425      2633.858      180      "RES SMD 100K OHM 5% 1/10W 0603"                                                                                                          
R13        100k          TopLayer RC0603                       2598.425      2681.102      180      "RES SMD 100K OHM 5% 1/10W 0603"                                                                                                          
R12        0             TopLayer RC0402                       921.260       2330.709      270      "RES SMD 0 OHM JUMPER 1/16W 0402"                                                                                                         
R8         100k          TopLayer RC0603                       1841.535      1358.268      360      "RES SMD 100K OHM 5% 1/10W 0603"                                                                                                          
R7         100k          TopLayer RC0603                       1732.283      1358.268      180      "RES SMD 100K OHM 5% 1/10W 0603"                                                                                                          
R6         100k          TopLayer RC0603                       2204.724      1421.260      360      "RES SMD 100K OHM 5% 1/10W 0603"                                                                                                          
R5         100k          TopLayer RC0603                       2204.724      1374.016      360      "RES SMD 100K OHM 5% 1/10W 0603"                                                                                                          
R4         100k          TopLayer RC0603                       1014.764      2219.488      360      "RES SMD 100K OHM 5% 1/10W 0603"                                                                                                          
R3         100k          TopLayer RC0603                       905.512       2219.488      180      "RES SMD 100K OHM 5% 1/10W 0603"                                                                                                          
R2         100k          TopLayer RC0603                       1377.953      2282.480      360      "RES SMD 100K OHM 5% 1/10W 0603"                                                                                                          
R1         100k          TopLayer RC0603                       1377.953      2235.236      360      "RES SMD 100K OHM 5% 1/10W 0603"                                                                                                          
IC3        IS31FL3731C   TopLayer IS31FL3731                   2795.276      2598.425      360      "LED Lighting Drivers Audio Modulated 144 Dot LED Driver"                                                                                 
IC2        IS31FL3731C   TopLayer IS31FL3731                   2007.874      1456.693      180      "LED Lighting Drivers Audio Modulated 144 Dot LED Driver"                                                                                 
IC1        IS31FL3731C   TopLayer IS31FL3731                   1181.102      2317.913      180      "LED Lighting Drivers Audio Modulated 144 Dot LED Driver"                                                                                 
D384       "SMD LED"     TopLayer SML-D12X1                    2490.157      1525.590      225      "LED RED DIFFUSED 1608 SMD"                                                                                                               
